Features Attributes County Nam,Features Attributes Positive,Features Attributes Negative,Features Attributes Pending,Features Attributes Lab Prvt,Features Attributes Lab Pub,Features Attributes Recoveries,Features Attributes Deaths,Features Attributes Total Tests,Features Attributes Lcase Name,Features Attributes Pos Range,Features Attributes Neg Range,Features Attributes Border Report,Features Attributes Active Cases,Features Attributes Pop 5yr Est 2018,Features Attributes Shape  Area,Features Attributes Shape  Length
Jackson,46,1504,,1083,467,35,6,1550,jackson,46,1504,Not Applicable,11,17225,1661121959.66943,241190.808602371
Prairie,45,758,,705,98,28,2,803,prairie,45,758,Not Applicable,17,8244,1748665963.44409,269110.445244305
Baxter,44,2772,,2423,393,33,9,2816,baxter,44,2772,https://bit.ly/2T74BCM,11,41219,1518457528.31995,214376.071685134
Franklin,41,1812,,1640,213,30,1,1853,franklin,41,1812,Not Applicable,10,17780,1604366855.28687,221024.220903981
Cleveland,41,913,,828,126,33,6,954,cleveland,41,913,Not Applicable,8,8226,1550112202.25488,191785.27846286
Perry,40,1128,,963,205,34,9,1168,perry,40,1128,Not Applicable,6,10322,1450824197.89246,235691.992000723
Van Buren,38,1275,,1157,156,35,2,1313,van buren,38,1275,Not Applicable,1,16684,1873571941.61279,202862.182311102
Lafayette,37,441,,401,77,23,2,478,lafayette,37,441,https://bit.ly/2T74BCM,12,6915,1413353782.99597,240091.990364965
Monroe,33,968,,862,139,22,1,1001,monroe,33,968,Not Applicable,11,7249,1608814698.93091,246946.068155265
Pike,32,2170,,2087,115,17,12,2202,pike,32,2170,Not Applicable,15,10808,1588931949.6095,227895.830370576
Stone,29,1400,,1055,374,20,1,1429,stone,29,1400,Not Applicable,8,12446,1577804238.83069,206836.754761377
Izard,28,1149,,1049,128,22,1,1177,izard,28,1149,Not Applicable,5,13559,1511354352.72925,187594.839051617
Scott,20,719,,647,92,14,1,739,scott,20,719,https://bit.ly/2T74BCM,6,10442,2325588371.05237,235654.491961227
Dallas,20,652,,570,102,12,6,672,dallas,20,652,Not Applicable,8,7432,1728752981.36938,248335.581705109
Fulton,20,1102,,1030,92,16,1,1122,fulton,20,1102,https://bit.ly/2T74BCM,4,12139,1606270810.8877,180201.700547134
Searcy,19,918,,901,36,15,6,937,searcy,19,918,Not Applicable,4,7923,1729575196.3103,184103.839471151
Woodruff,18,864,,820,62,11,1,882,woodruff,18,864,Not Applicable,7,6660,1538509114.34155,261925.286117796
Newton,16,601,,575,42,9,3,617,newton,16,601,Not Applicable,7,7848,2130867828.67175,197624.4003355
Marion,15,1087,,991,111,12,9,1102,marion,15,1087,https://bit.ly/2T74BCM,3,16438,1657005316.82642,213041.318466841
Montgomery,14,736,,716,34,9,12,750,montgomery,14,736,Not Applicable,5,8993,2072865931.63159,187272.030588765
Calhoun,5,429,,362,72,3,2,434,calhoun,5,429,Not Applicable,2,5202,1636688781.8551,257923.684200782
